#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
4439.8;0;203;0;2;0/4439.8;0/3416.19,1/3447.08;0/0;0/4439.8,1/4439.8;0/0;0/59,1/55;0/0;0/62,1/57;0/0;0/0,1/0;0/0;0/103,1/100;0/0;0/104,1/101
4499.87;0;208;0;2;0/4499.87;0/3456.2,1/3487.41;0/0;0/4499.87,1/4499.87;0/0;0/61,1/58;0/0;0/62,1/58;0/0;0/0,1/0;0/0;0/106,1/102;0/0;0/107,1/103
4559.92;0;209;0;2;0/4559.92;0/3497.53,1/3547.45;0/0;0/4559.92,1/4559.92;0/0;0/60,1/57;0/0;0/61,1/58;0/0;0/0,1/0;0/0;0/107,1/102;0/0;0/108,1/103
4619.76;0;211;0;2;0/4619.76;0/3547.42,1/3597.39;0/0;0/4619.76,1/4619.76;0/0;0/59,1/55;0/0;0/60,1/57;0/0;0/0,1/0;0/0;0/108,1/103;0/0;0/109,1/104
4679.88;0;214;0;2;0/4679.88;0/3597.56,1/3637.84;0/0;0/4679.88,1/4679.88;0/0;0/59,1/55;0/0;0/59,1/55;0/0;0/0,1/0;0/0;0/109,1/105;0/0;0/110,1/106
4739.61;0;214;0;2;0/4739.61;0/3657.29,1/3697.57;0/0;0/4739.61,1/4739.61;0/0;0/57,1/53;0/0;0/59,1/55;0/0;0/0,1/0;0/0;0/109,1/105;0/0;0/110,1/106
4799.95;0;218;0;2;0/4799.95;0/3698.27,1/3738.2;0/0;0/4799.95,1/4799.95;0/0;0/63,1/52;0/0;0/63,1/53;0/0;0/0,1/0;0/0;0/111,1/107;0/0;0/112,1/108
4859.86;0;220;0;2;0/4859.86;0/3758.18,1/3785.05;0/0;0/4859.86,1/4859.86;0/0;0/61,1/55;0/0;0/63,1/55;0/0;0/0,1/0;0/0;0/111,1/109;0/0;0/112,1/110
4919.7;0;223;0;2;0/4919.7;0/3794.66,1/3838.17;0/0;0/4919.7,1/4919.7;0/0;0/58,1/58;0/0;0/60,1/58;0/0;0/0,1/0;0/0;0/114,1/109;0/0;0/115,1/110
4979.96;0;225;0;2;0/4979.96;0/3829.57,1/3898.43;0/0;0/4979.96,1/4979.96;0/0;0/61,1/58;0/0;0/62,1/58;0/0;0/0,1/0;0/0;0/116,1/109;0/0;0/117,1/110
5039.7;0;227;0;2;0/5039.7;0/3877.53,1/3958.18;0/0;0/5039.7,1/5039.7;0/0;0/60,1/57;0/0;0/60,1/58;0/0;0/0,1/0;0/0;0/118,1/109;0/0;0/119,1/110
5099.82;0;228;0;2;0/5099.82;0/3929.48,1/4008.32;0/0;0/5099.82,1/5099.82;0/0;0/60,1/56;0/0;0/60,1/57;0/0;0/0,1/0;0/0;0/118,1/110;0/0;0/119,1/111
