#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
4799.72;0;97;0;2;0/4799.72;0/170.86,1/1882.98;0/0;0/4799.72,1/4799.72;0/0;0/11,1/16;0/0;0/15,1/17;0/0;0/0,1/0;0/0;0/59,1/38;0/0;0/473,1/298
4859.9;0;99;0;2;0/4859.9;0/172.34,1/1913.44;0/0;0/4859.9,1/4859.9;0/0;0/12,1/19;0/0;0/16,1/19;0/0;0/0,1/0;0/0;0/60,1/39;0/0;0/479,1/302
4919.9;0;103;0;2;0/4919.9;0/172.81,1/1915.11;0/0;0/4919.9,1/4919.9;0/0;0/12,1/14;0/0;0/13,1/16;0/0;0/0,1/0;0/0;0/64,1/39;0/0;0/485,1/308
4979.98;0;108;0;2;0/4979.98;0/183.87,1/1916.36;0/0;0/4979.98,1/4979.98;0/0;0/11,1/14;0/0;0/12,1/17;0/0;0/0,1/0;0/0;0/67,1/41;0/0;0/490,1/313
5039.91;0;113;0;2;0/5039.91;0/208.93,1/1917.52;0/0;0/5039.91,1/5039.91;0/0;0/13,1/14;0/0;0/14,1/18;0/0;0/0,1/0;0/0;0/68,1/45;0/0;0/493,1/319
5099.6;0;117;0;2;0/5099.6;0/258.73,1/1918.88;0/0;0/5099.6,1/5099.6;0/0;0/15,1/11;0/0;0/16,1/16;0/0;0/0,1/0;0/0;0/69,1/48;0/0;0/494,1/325
5159.92;0;118;0;2;0/5159.92;0/272.11,1/1920.01;0/0;0/5159.92,1/5159.92;0/0;0/16,1/9;0/0;0/17,1/14;0/0;0/0,1/0;0/0;0/70,1/48;0/0;0/499,1/331
5219.92;0;118;0;2;0/5219.92;0/273.51,1/1921.9;0/0;0/5219.92,1/5219.92;0/0;0/13,1/15;0/0;0/14,1/20;0/0;0/0,1/0;0/0;0/70,1/48;0/0;0/505,1/337
5279.73;0;119;0;2;0/5279.73;0/275.36,1/1923.55;0/0;0/5279.73,1/5279.73;0/0;0/14,1/16;0/0;0/16,1/20;0/0;0/0,1/0;0/0;0/70,1/49;0/0;0/511,1/343
5339.94;0;120;0;2;0/5339.94;0/277.2,1/1924.55;0/0;0/5339.94,1/5339.94;0/0;0/12,1/9;0/0;0/13,1/14;0/0;0/0,1/0;0/0;0/71,1/49;0/0;0/517,1/349
